Brasserie la bonne franquette,[{'place_id': 'ChIJow5SxuxRqEcRpk680jewg50'}]
sagrantino 136,[{'place_id': 'ChIJU6pM1j5RqEcRblPfq5OJZp4'}]
CAFE RIBO,[{'place_id': 'ChIJm3_SgO9RqEcRPsCFGSCiw4U'}]
Alpenstück,[{'place_id': 'ChIJR2gy_e5RqEcRRJE4cQBY_ug'}]
Risorante Bonfini,[{'place_id': 'ChIJhx78J9EjZUERI2jYna3X5pI'}]
Distrikt Coffee,[{'place_id': 'ChIJ--YdvO9RqEcRWbP6iaXaoew'}]
Restaurant einsunternull,[{'place_id': 'ChIJ_7T13OtRqEcRykkW1_-ATbc'}]
Cafe Hermann Eicke,[{'place_id': 'ChIJ0awbwfBRqEcR-ZGkXYpSkSo'}]
Chicago Williams Berlin-Mitte GmbH,[{'place_id': 'ChIJ4Wce2-tRqEcRcPKUr56ZrA8'}]
eins essenundtrinken,[{'place_id': 'ChIJ35Aup-5RqEcRmTP_hn5md_8'}]
Nhat Long Restaurant,[{'place_id': 'ChIJt7KO1-hRqEcRLT4aTcLRDvs'}]
Royals&Rice Berlin,[{'place_id': 'ChIJ6c3F8-VRqEcRiicxeI5EOTI'}]
beets&roots,[{'place_id': 'ChIJ710vj-ZRqEcRN7hykiDjS5A'}]
rebenkind,[{'place_id': 'ChIJ3eIXp-BRqEcRJBreG-BVHkU'}]
essen--fassen,[{'place_id': 'ChIJzRKcAfFRqEcRXwtjGvqEteo'}]
Restaurant Esszimmer,[{'place_id': 'ChIJ56t3-ZBRqEcRMfNqcJgpjfA'}]
Café Bar Central,[{'place_id': 'ChIJB1sU0fBRqEcRAw7ElwDRa6M'}]
Subway Catering,[{'place_id': 'ChIJTyKe6-xRqEcR1uRBjE4mpdM'}]
Swipeby.de,[{'place_id': 'ChIJbUzdlI1RqEcRCRhoCv3gZOA'}]
Bötzow Privat,[{'place_id': 'ChIJaQ96yOhRqEcRMuG_0X8RyII'}]
Röststätte Berlin,[{'place_id': 'ChIJLc-Nv-VRqEcRPoL5jV8hMaI'}]
Bowls & Booze,[{'place_id': 'ChIJgSEQ7uVRqEcR8yp6N97R6F8'}]
Hito Falafel,[{'place_id': 'ChIJJdCKFdBRqEcRO5Uz93cVPWM'}]
Essen statt Kochen Lieferservice,[{'place_id': 'ChIJgx1C4hpPqEcRr-bIXXakW-4'}]
CORDO,[{'place_id': 'ChIJLbGX7uZRqEcRWEE5iayCkRM'}]
Izumo Restaurant-Sushi Bar,[{'place_id': 'ChIJQwHEa9BRqEcRp_3YUzY8dos'}]
BEB SO CATERING,[{'place_id': 'ChIJsTWFac9RqEcRCV_ashXj0Og'}]
JOSEPH Restaurant,[{'place_id': 'ChIJCXXOrnZRqEcRw4ZinZMwbXc'}]
Quchnia,[{'place_id': 'ChIJC1K7FtpRqEcRKaihutliQas'}]
Restaurant ALvis,[{'place_id': 'ChIJ57kGIcJRqEcRUdFUCT_QMVA'}]
Peking Ente Berlin,[{'place_id': 'ChIJI_4-oM9RqEcRgazfdDzpfkA'}]
STADTSALAT GmbH,[{'place_id': 'ChIJZbwjDjZRqEcRDS4H2E_-KtI'}]
Restaurant theNOname,[{'place_id': 'ChIJdZ9vis9RqEcRAK00j_2tTXA'}]
Restaurant acht&dreissig,[{'place_id': 'ChIJb8Yo1OdRqEcR1tNPIs-ssTE'}]
Cadadia Suppenbar & Catering,[{'place_id': 'ChIJx18rIA5HqEcRaUtp_44Pb_Q'}]
SOUPKULTUR,[{'place_id': 'ChIJ20u7sv5QqEcRuQJ_BO9mx4Q'}]
Chupenga Burritos & Salads,[{'place_id': 'ChIJWXZnG9pRqEcRutGb2PX0qOI'}]
Ristorante Pizzeria Roma,[{'place_id': 'ChIJy7lLl-lRqEcRJ6T5N2nJr1w'}]
Subway Friedrichstraße,[{'place_id': 'ChIJp8FzcOlRqEcRqpFCa1TtPy0'}]
"Treffpunkt Berlin ""Alt-Berliner Kneipe""",[{'place_id': 'ChIJYS1LpsRRqEcRKV_Xls2gKPs'}]
Berlin Capital Club,[{'place_id': 'ChIJKa-6XscjZUERe5ZL21HuYrI'}]
Anand - Indisches Restaurant,[{'place_id': 'ChIJ8-IJM8JRqEcR27eHKz0LIC0'}]
ERDINGER am Gendarmenmarkt,[{'place_id': 'ChIJxTDlQPZRqEcRQOp93bRRO4E'}]
Cookies Cream / Crackers,[{'place_id': 'ChIJV4_rtsRRqEcRIKoaNDZ0VnQ'}]
McDonald's Friedrichstraße,[{'place_id': 'ChIJX_4obfZRqEcRdApQQgB10mo'}]
BLOCK HOUSE Friedrichstraße,[{'place_id': 'ChIJDaVpwcVRqEcR1V-TJQ4yYbA'}]
Marienkäfer(ehem. Muckrakers),[{'place_id': 'ChIJF8cBIMJRqEcRH9JOT3BslNU'}]
Ristorante Vino e Basilico,[{'place_id': 'ChIJRexZgOhRqEcRm_-_whvBkcs'}]
Machiavelli Mitte,[{'place_id': 'ChIJK2FOMcJRqEcRy5vIDvdzP2Q'}]
Restaurant Nanoosh,[{'place_id': 'ChIJBx9rftpRqEcRupd9FMZJ5gA'}]
espresso-ambulanz,[{'place_id': 'ChIJtxFydelRqEcRMRpzCF-gqPw'}]
Restaurant Rosmarin,[{'place_id': 'ChIJad0NZ-hRqEcRcyUtuS1WVcM'}]
CHOI,[{'place_id': 'ChIJHa_Ak8FRqEcR2V5tDfoBFPU'}]
Café Gorki Park,[{'place_id': 'ChIJo_0q7ORRqEcRbowoQuoAblc'}]
Sade Berlin,[{'place_id': 'ChIJU9hTEKFRqEcR0PKeEH2Xn6U'}]
Ryong,[{'place_id': 'ChIJ69_cOQRRqEcR4evzZa3LpKU'}]
THE BARN BERLIN,[{'place_id': 'ChIJlacAYh1OqEcRwgXI4wAzd24'}]
Muret la barba,[{'place_id': 'ChIJ2TcU5eNRqEcRQ7R-rfEdfQo'}]
Tor Kebap,[{'place_id': 'ChIJqSDTVuRRqEcRGzLldFBqNos'}]
KWA - Kebap with attitude,[{'place_id': 'ChIJAQCzWqVRqEcRIKoo5i1qGX0'}]
PAPPA E CICCIA,[{'place_id': 'ChIJ--g8-PxRqEcRxV2mfEdI9hs'}]
Aapka Berlin,[{'place_id': 'ChIJDygZZPtRqEcRMfa3mz6wHuA'}]
FECHTNER,[{'place_id': 'ChIJLbuNe-RRqEcRbhIcwpzmxMw'}]
Restaurant Fleischerei,[{'place_id': 'ChIJ0dM_p-JRqEcRLf5rbdVPZAA'}]
Zur Rose,[{'place_id': 'ChIJ_QuW8uRRqEcRXmk82ZfXtPo'}]
Jabe Dine&Bar,[{'place_id': 'ChIJ91MrIjlRqEcRoHueUIP5Cy0'}]
Heidi‘s Café,[{'place_id': 'ChIJdfrkpSBOqEcRQHHPh59HE0o'}]
Esra Falafel,[{'place_id': 'ChIJs0sH0h9OqEcRZazrLO_Me34'}]
Rotisserie Weingrün,[{'place_id': 'ChIJNacWhidOqEcRstfdBVU4E7Y'}]
KugelEi Café,[{'place_id': 'ChIJA0TBxyBOqEcRBdcwJtjG7JI'}]
Tuans Hütte Thai & Sushi Restaurant,[{'place_id': 'ChIJ1zUeNOBRqEcR3KFIDPHd630'}]
"Restauration ""Sophien 11""",[{'place_id': 'ChIJEY8-PeFRqEcRB42FvWxpvVA'}]
Dolores Mitte,[{'place_id': 'ChIJ9doHMh5OqEcRpBuTy_JIHzY'}]
dean&david Monbijouplatz,[{'place_id': 'ChIJM9lUPudRqEcR_39uL7qeDqU'}]
Vadoli Pizza Berlin Mitte,[{'place_id': 'ChIJVzaiejpRqEcR3dH5Vap8y9E'}]
Data Kitchen,[{'place_id': 'ChIJJboJIOFRqEcR5-AeqiWqZSY'}]
Berliner Marcus-Bräu,[{'place_id': 'ChIJiagwMB5OqEcR__dU6KknxA4'}]
L'Osteria Mitte,[{'place_id': 'ChIJTc1KSh5OqEcRdYUVZlCTfGw'}]
Alt Berliner Gasthaus Julchen Hoppe,[{'place_id': 'ChIJm_HLX99RqEcRiydKq4B0-a4'}]
OLLA Orient,[{'place_id': 'ChIJSTChU-dRqEcRW8rU0O05yvk'}]
Restaurant Spreeblick,[{'place_id': 'ChIJobfQtiBOqEcRm9sZgIG5vd0'}]
Restaurant Ännchen von Tharau,[{'place_id': 'ChIJfS0kcCNOqEcRO1W_7PLO48E'}]
Zur letzten Instanz,[{'place_id': 'ChIJ1WEbzyNOqEcRKqrOGWDKPMs'}]
Spreemittag,[]
SushiForYou,[{'place_id': 'ChIJmzyTT0JSqEcRxQ_OAeRK-Ek'}]
Mamman,[{'place_id': 'EipJbnNlbHN0cmHDn2UgOSwgMDQxMDMgTGVpcHppZywgRGV1dHNjaGxhbmQiGhIYChQKEgkVC-mQPvimRxFQeDiMvDwVzRAJ'}]
The Student Hotel Berlin,[{'place_id': 'ChIJN2olUpxPqEcRLu7MrDue96A'}]
YADA YADA breakfast club,[{'place_id': 'ChIJd1daqSVOqEcRyetEfXh3V74'}]
Michelberger Restaurant & Markt,[{'place_id': 'ChIJGcZbblBOqEcR5cTGTkNfGlw'}]
Tony Roma’s am Mercedes Platz,[{'place_id': 'ChIJ17EosS1PqEcRG7Rit-l2brI'}]
Rice Rolls Berlin,[{'place_id': 'ChIJaeRNwk1PqEcR2_rp-a7TVAw'}]
Restaurant Volkskammer,[{'place_id': 'ChIJqbpNxEZOqEcRViO_0U4FCEc'}]
McDonald's Ostbahnhof,[{'place_id': 'ChIJGVFYHEdOqEcRuDtQc6X8cCw'}]
Fleischerei Neuling,[{'place_id': 'ChIJ7RI7dEJOqEcRpkX4ETY_pTY'}]
LION BURGER,[{'place_id': 'ChIJ38sGoF1OqEcR0Ow2JvpOo2E'}]
Amber,[{'place_id': 'ChIJlZF4oV5OqEcR06oY-ohfTJA'}]
Protokoll Taproom,[{'place_id': 'ChIJbeTl111OqEcR8-I-Dg6S6Nw'}]
BBB Restaurant,[{'place_id': 'ChIJGS37NfdOqEcRY9BlDEVzTgs'}]
Café Datscha Friedrichshain,[{'place_id': 'ChIJsXeZNFlOqEcRwpkdUdGm43g'}]
papaya am boxhagener,[{'place_id': 'ChIJOTQkx15OqEcR4xkt2tIj6Xc'}]
Café KLEiNES SONNTAG,[{'place_id': 'ChIJ4RI-BPdOqEcRv4SVU_GFofA'}]
Kärrecho,[{'place_id': 'ChIJDxAqOPFOqEcR7KqNK4K2uuA'}]
Kaffeebar Aprilkind,[{'place_id': 'ChIJRXYNVFlOqEcRCbo5LvS4s3w'}]
Lisboa Bar am Boxi,[{'place_id': 'ChIJGayp0F5OqEcRr83cz2j1cwM'}]
"Restaurant ""buergers. essen und trinken""",[{'place_id': 'ChIJD1RM5JRPqEcRP_v2wN_79Yc'}]
Neumanns Cafe,[{'place_id': 'ChIJ2c3KyF5OqEcRIYVxKgKuu-M'}]
Goura Pakora,[{'place_id': 'ChIJF-e_uV5OqEcRnIN4zvoBCIA'}]
Straßenbräu,[{'place_id': 'ChIJz51-1vBOqEcRc_xSIfUjoh4'}]
Thronburger,[{'place_id': 'ChIJ-8SzJ_FOqEcR8CDHoSizzGw'}]
VEG'D - Vegan Burgers,[{'place_id': 'ChIJR8oUWdVPqEcRPHdUV07QDak'}]
SubHero Berlin,[{'place_id': 'ChIJvRq-0FtOqEcRdPMufKKeQ-w'}]
Kiez Döner persisch,[{'place_id': 'ChIJPSIup1pPqEcR25-t0o742f4'}]
LÜCK'S,[{'place_id': 'ChIJKR5aVfZOqEcREFMNC1RyNas'}]
McDonald's Ostkreuz,[{'place_id': 'ChIJT8y0vfBOqEcRZ2A2Tn_ZnjM'}]
esswirtschaft fernsehwerft,[{'place_id': 'ChIJ6fsDQaZPqEcR3-HLPypeKhc'}]
Scheers Schnitzel,[{'place_id': 'ChIJ_-u_slFOqEcRc0jMpzKA48c'}]
Burgers Berlin,[{'place_id': 'ChIJgwSNNvdOqEcRbRgJFv8hHwI'}]
Santa Cantina GmbH,[{'place_id': 'ChIJteBFYVlOqEcRtsdga4wk5ek'}]
Kernvoll GmbH,[{'place_id': 'ChIJZ6hpXvVOqEcRNwgtDIFyric'}]
Eatalian,[{'place_id': 'ChIJZ8hhqF9OqEcRSyKqvVR7zl8'}]
Trattoria Da Dino,[{'place_id': 'ChIJo9YOY4pOqEcRagWIzFHfpKU'}]
CaféGarbe,[{'place_id': 'ChIJUYko1l9OqEcRY6ukJLXpxBA'}]
Eddielicious Mexican Food,[{'place_id': 'ChIJq6qah_ZOqEcRsQuVlgK_bMQ'}]
Sai Baba,[{'place_id': 'ChIJt9_aL2BOqEcRFvSKK1Dyy5I'}]
Friedrichs Wirtschaft,[{'place_id': 'ChIJ8Wkub15OqEcRTVsVWG2g4Q8'}]
Hefter Partyservice,[{'place_id': 'ChIJf0MjcslPqEcRpaYlV2ySJNM'}]
rembrandt-burger,[{'place_id': 'ChIJbzLtEGlOqEcRYfPnkq2qlbg'}]
DDR Speisegaststätte Pila ( Pionierlager ),[{'place_id': 'ChIJXbho8RBOqEcRFKhJDk8-3Yw'}]
Sofia Bar,[{'place_id': 'ChIJPyWhVRFOqEcRf8HBWmNl7Lk'}]
grünstern - Biologisches Catering aus Berlin,[{'place_id': 'ChIJhQ1iY7hOqEcRhNsFfC1OB3g'}]
Dong Da Restaurant,[{'place_id': 'ChIJkea35WhPqEcRubu_3e5FdCE'}]
Pizza Max,[{'place_id': 'ChIJD2R2AcFOqEcROOsNQ7KkZGQ'}]
Pizza Ragazzi,[{'place_id': 'ChIJJ-mkoXTcuEcRo6g6jlHj6OM'}]
Salsa Mexicana,[{'place_id': 'ChIJ_6fFVMBOqEcRZHqF4VL7iV8'}]
Restaurant Jelänger Jelieber,[{'place_id': 'ChIJW8VRIu9OqEcRdYGW7U14okc'}]
Quattro Fratelli Karlshorst,[{'place_id': 'ChIJh4dfnddIqEcR-yHNYknc4tE'}]
Fratelli Da Giovanni,[{'place_id': 'ChIJudYEnDJJqEcRNZyu8rxoQBg'}]
DEEP Indische Spezialitäten,[{'place_id': 'ChIJZ-5wGMNJqEcRYjtACxE7xYQ'}]
EPIRUS,[{'place_id': 'ChIJQ60PRJBOqEcRRcWC3MTdLnI'}]
Aastha,[{'place_id': 'ChIJu7wRuI1OqEcR2MnrEs40frE'}]
Meta Mate,[{'place_id': 'ChIJBUQ0Lh1OqEcROpHg79CDsc0'}]
Maseltopf,[{'place_id': 'ChIJedQX7QNOqEcRO900Oc6mT6Y'}]
UNSRE KNEIPE,[{'place_id': 'ChIJVVWhbwNOqEcRaZUd2XJT4a4'}]
PIZZAFABRIK.DE,[{'place_id': 'ChIJw33CxgdOqEcR_XKMoBhPMN0'}]
KAFFE,[{'place_id': 'ChIJG2Vx-AROqEcRKSqOUNzM2fY'}]
CUBANDRES catering,[{'place_id': 'ChIJ9xTpUwdOqEcRiuEMtzgNJaw'}]
The Hidden by Daniel's Eatery,[{'place_id': 'ChIJUfCtNAVOqEcRGKIuvRsWmRI'}]
Restaurant Herr Rossi,[{'place_id': 'ChIJDd9T-AROqEcRTD28K79hMN8'}]
Maothai Restaurant,[{'place_id': 'ChIJbWg1bwFOqEcRNbDIVGvgYDI'}]
Scotch&Sofa,[]
grossherz,[{'place_id': 'ChIJyzJ1LNlPqEcRy_KWpSrjz0E'}]
Restaurant Suriya Kanthi,[{'place_id': 'ChIJVxwwiANOqEcROvHO5CFCifY'}]
Gasthaus Alt Wien,[{'place_id': 'ChIJm7-IVw5OqEcRxFRycnVAoUE'}]
Restaurant Taleh Thai,[{'place_id': 'ChIJb-CtNw5OqEcRp3kuYtPtR-I'}]
BLUE LABEL,[{'place_id': 'ChIJK4_4LA5OqEcRGOw3RGbZtTw'}]
HUSSERIA,[{'place_id': 'ChIJb5hwHxBOqEcRkXNTv0ytAEg'}]
Jubel- feine Patisserie,[{'place_id': 'ChIJ1-e9CQ9OqEcRnz5wfurfouw'}]
Doll's Kitchen,[{'place_id': 'ChIJl5g9BQlOqEcRhTg_6syiEl8'}]
BURGER KING DEUTSCHLAND GMBH,[{'place_id': 'ChIJA-ihxZJWqEcReehIACgaApU'}]
Mami Camilla,[{'place_id': 'ChIJH9SSdg5OqEcRnNNxEppzTmo'}]
cantina,[{'place_id': 'ChIJfTjGr3ZOqEcRgIR3ooJBTQE'}]
Ambe,[{'place_id': 'ChIJsQtOnuNNqEcRH91fgChusVY'}]
Red Dragon,[{'place_id': 'ChIJi03_EABOqEcRNt4T6iTkOuE'}]
PAPA NO - Prenzlauer Berg,[{'place_id': 'ChIJRVwT7P9RqEcRsnaeQG_EdsI'}]
Der blaue Fuchs,[{'place_id': 'ChIJO9gSHQZPqEcRpzlBbrmTXy0'}]
Bonanza Coffee,[{'place_id': 'ChIJe-xsRDFOqEcR9oMD5MR9wCo'}]
Gloria Prenzlauer Berg,[{'place_id': 'ChIJZWhH5f9RqEcR-7MxOmONO1Y'}]
Le Flo Französische Feinkost,[{'place_id': 'ChIJUREzugFOqEcRPlKlYd1N7KQ'}]
Domu Nosta,[{'place_id': 'ChIJPThB-RlPqEcRRJoQ0kRd4bI'}]
Cenacolo,[{'place_id': 'ChIJu20u0QFOqEcR7FdAKIEi-qE'}]
Zum dritten Mann,[{'place_id': 'ChIJqTlWAgFOqEcRyB_Nn8P9cUA'}]
LuisaKocht,[{'place_id': 'ChIJhW-iiQBOqEcRRttYUC-23zg'}]
Delizie D'Italia,[{'place_id': 'ChIJn4Ot3QBOqEcRVP6CMFUVhT8'}]
Biogoods,[{'place_id': 'ChIJycWvFjFPqEcRgdqXOOxdfYQ'}]
Hako Ramen Prenzlauer Berg,[{'place_id': 'ChIJj4C73qdRqEcRUBPH6sXe-rY'}]
Cafe Dodo,[{'place_id': 'ChIJsY597CZNqEcRsy9GCutQDJk'}]
Wok Show,[{'place_id': 'ChIJ93lo1wdSqEcRDyq7_fE0-Zc'}]
Restaurant Meena Kumari,[{'place_id': 'ChIJB-CkjP9RqEcRITyvgp5re2E'}]
Cafe Meta,[{'place_id': 'ChIJFeqgHQNSqEcROmf9BQqthag'}]
Café Datscha Prenzlauer Berg,[{'place_id': 'ChIJ37g3F_9NqEcR_xu_n9ULo08'}]
HOLY FLAT!,[{'place_id': 'ChIJBdL_ng1RqEcR06jtU4KvYyQ'}]
BLACKBEARDS BBQ BERLIN,[{'place_id': 'ChIJMag-swBSqEcR1eUBrFfn-W0'}]
Trattoria Antichi Aromi,[{'place_id': 'ChIJb6BuMqdTqEcRgkLp424Llfo'}]
Vetzgerei,[{'place_id': 'ChIJ4d1PzP9NqEcRyqAqza4K6NY'}]
Restaurant Burgerie,[{'place_id': 'ChIJ07hx2gFSqEcR-H0iMVOy6BI'}]
Café Bar MOLOKO,[{'place_id': 'ChIJn-ji_r1NqEcRwcmnb6K9pXk'}]
Restaurant Schust,[{'place_id': 'ChIJ9Q0C_oRRqEcRDkNZH1OIj7E'}]
La Buvette Weinbar,[{'place_id': 'ChIJqa8_eQRSqEcRxUYVwl7g5GQ'}]
Der Fischladen,[{'place_id': 'ChIJ3_mhIl1RqEcRox4hM9CgT1Q'}]
Chay Long,[{'place_id': 'ChIJZSF-L_5NqEcRFuNC9g-Nt5E'}]
Restaurant Thüringer Stuben,[{'place_id': 'ChIJ3cBD4_5NqEcRSarsY9-reDo'}]
SPRO Scones Bakery & Coffee,[{'place_id': 'ChIJ7bFaGxJTqEcRZkR3dDtbF9Y'}]
Orlando Berlin,[{'place_id': 'ChIJqa8_eQRSqEcR6l2pt2usV8s'}]
DIE PIZZAHÜTTE,[{'place_id': 'ChIJ5WJqlARSqEcRFs9nV4DQ6Uc'}]
Trattoria Zoe,[{'place_id': 'ChIJs4s4FP5NqEcRX53AsKWLC1g'}]
3YS Vision GmbH,"[{'place_id': 'ChIJTbAOBABSqEcRD-cP31BLmr8'}, {'place_id': 'ChIJ40xr8x1SqEcRUR4fwzo3WhQ'}]"
Goldhahn und Sampson,[{'place_id': 'ChIJsz17FedQqEcRRrySBKY_IDU'}]
Trattoria Felice,[{'place_id': 'ChIJsXyGewBSqEcRNDyiAkGRl1g'}]
Giomecca Pastry,[{'place_id': 'ChIJoWBGBAZSqEcRZZGUc3upP2g'}]
Seth & Fathe Indische & Pakistanische Spezialitäten,[{'place_id': 'ChIJu4YcYhpSqEcRcGhp8q9eKbM'}]
George R Bar,[{'place_id': 'ChIJu19RZnNRqEcRzB9hucWHot8'}]
Burger Turm,[{'place_id': 'ChIJq_UYjjNRqEcRZaOHWYNGaBw'}]
Nord West Oase,[{'place_id': 'ChIJi1Aqo3JRqEcRWoxN7JnWEZc'}]
Zunftwirtschaft,[{'place_id': 'ChIJETXn6gxRqEcRqPm68igQEpg'}]
agni,[{'place_id': 'ChIJ9fc8fxFRqEcRMwkzsTU2yRU'}]
Havel Menü,[{'place_id': 'ChIJjaul63JZqEcRF6R8Rn-9KlE'}]
Dilay Lebensmittel Vertriebs GmbH,[{'place_id': 'ChIJBZkYd2xRqEcR2Nyu2urMKVM'}]
Walhalla,[{'place_id': 'ChIJi6jL8AtRqEcR15QB16sJSYk'}]
MAYAHUEL:tequilaverkostung und mehr,[{'place_id': 'ChIJP7lwKgxRqEcROgvQJeBve8Y'}]
YA-MAN Caribbean Soul Food,[{'place_id': 'ChIJVVXF9RFRqEcRa7tL6AB4rjU'}]
Lal Haweli,[{'place_id': 'ChIJ6bQo-hFRqEcRBEJNC3_WuBU'}]
Asiagourmet,[{'place_id': 'ChIJ_____7xRqEcRaJOFhSU5dOk'}]
EasyCookAsia,[]
Kapitel 21,[{'place_id': 'ChIJb1R_eZxRqEcRGdzgE2atrPY'}]
Clara Vere,[{'place_id': 'ChIJBwkkwyBRqEcRIkenU7rRhU8'}]
Restaurant Galija am Schloss,[{'place_id': 'ChIJUautsiVRqEcRtqrHmA3Lbmw'}]
Trattoria Rathaus Piazza,[{'place_id': 'ChIJz_uenVVRqEcRP41coq6bJEc'}]
Wilhelm Hoeck,[{'place_id': 'ChIJ93haHCFRqEcRQKdnvio_NhU'}]
CAFÉ KUNST GENUSS,[{'place_id': 'ChIJe3K7BohRqEcRZDnfzTBgITs'}]
Natural'Mente - Makrobiotik Gastronomie GmbH,[{'place_id': 'ChIJneJFVc5RqEcRPob76-XMq50'}]
Thai Restaurant Kien-du-kiang-thong,[{'place_id': 'ChIJDWxz3CZRqEcRXGDatkETSXw'}]
Kantine im Atrium,[{'place_id': 'ChIJP5Xg2z1RqEcR-2M8QJVWOJY'}]
Nguyen Imbiss Asiatische Spezialitäten,[{'place_id': 'ChIJe3fkvDpRqEcRBaPsjuOF4mk'}]
east Restaurant Grolmanstraße21,[{'place_id': 'ChIJVUGY3OJQqEcRwFUAmKvLOHo'}]
Philomenis greek delicious,[{'place_id': 'ChIJ90kGUh1RqEcRhV-0LaaiekI'}]
KLX - Koshary Lux,[{'place_id': 'ChIJx5A0vPxQqEcRk85VkfQ1oik'}]
Trattoria Tatou,[{'place_id': 'ChIJF4g8lf1QqEcR84EtdV4KUgE'}]
Dicke Wirtin,[{'place_id': 'ChIJb6AiJv1QqEcRQuhkF6bzTIg'}]
Good Friends,[{'place_id': 'ChIJsdOqTQxRqEcRhj1prfLTfBY'}]
Restaurant Kitchen Library,[{'place_id': 'ChIJySmR6OJQqEcRicbXnpuvr44'}]
Calcutta Restaurant,[{'place_id': 'ChIJ1Q8xo-RQqEcR2TluHiUKs94'}]
Cafeteria Amalie,[{'place_id': 'ChIJFQNTM3hRqEcR_T986IqfySk'}]
"Kaffeehaus Mila, Grolmanstrasse 40, 10623 Berlin",[{'place_id': 'ChIJqdqlhvxQqEcRdVsjY33nulg'}]
La Bocca di Culaccino,[{'place_id': 'ChIJ6Y9sO3NRqEcRJn-p9cplfNw'}]
Ristorante Romero,[{'place_id': 'ChIJQw2cO_xQqEcRmm3f36gHsBY'}]
Ashoka,[{'place_id': 'ChIJYVzO0eJQqEcR1CAoCRnCueo'}]
Ajanta,[{'place_id': 'ChIJwUF4j-JQqEcRkgvvBS7SqhI'}]
